# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Measurement Data Fomat:
# Time [s]    Subject #    range [m]    bearing [rad] 
1248272273.862 	  25 	  3.375 	  0.053 
1248272273.862 	  61 	  1.968 	  0.559 
1248272274.108 	  25 	  3.379 	  0.041 
1248272274.355 	  61 	  1.940 	  0.563 
1248272274.620 	  61 	  1.957 	  0.557 
1248272274.882 	  25 	  3.303 	  0.051 
1248272274.882 	  41 	  3.037 	  0.548 
1248272274.882 	  61 	  1.908 	  0.567 
1248272275.361 	  25 	  3.270 	  0.051 
1248272275.361 	  41 	  3.009 	  0.557 
1248272275.361 	  61 	  1.888 	  0.571 
1248272275.843 	  25 	  3.231 	  0.043 
1248272275.843 	  41 	  2.973 	  0.562 
1248272276.082 	  25 	  3.201 	  0.051 
1248272276.083 	  41 	  2.966 	  0.563 
1248272276.561 	  25 	  3.198 	  0.057 
1248272276.561 	  41 	  2.917 	  0.567 
1248272277.040 	  25 	  3.136 	  0.057 
1248272277.041 	  41 	  2.889 	  0.563 
1248272277.279 	  25 	  3.129 	  0.057 
1248272277.279 	  41 	  2.863 	  0.561 
1248272278.206 	  25 	  3.065 	  0.055 
1248272278.206 	  41 	  2.806 	  0.548 
1248272278.684 	  25 	  3.036 	  0.058 
1248272278.684 	  41 	  2.757 	  0.550 
1248272278.924 	  25 	  3.033 	  0.060 
1248272278.924 	  41 	  2.754 	  0.549 
1248272279.163 	  25 	  3.033 	  0.050 
1248272279.164 	  41 	  2.730 	  0.545 
1248272279.401 	  25 	  2.993 	  0.065 
1248272279.401 	  41 	  2.699 	  0.550 
1248272279.638 	  41 	  2.681 	  0.545 
1248272279.884 	  41 	  2.665 	  0.546 
1248272280.358 	  41 	  2.619 	  0.540 
1248272280.833 	  25 	  2.944 	  0.051 
1248272281.070 	  41 	  2.581 	  0.537 
1248272281.220 	  41 	  2.581 	  0.537 
1248272281.371 	  41 	  2.581 	  0.537 
1248272281.653 	  25 	  2.821 	  0.150 
1248272281.936 	  25 	  2.825 	  0.154 
1248272282.409 	  25 	  2.785 	  0.159 
1248272282.645 	  25 	  2.780 	  0.145 
1248272282.883 	  25 	  2.727 	  0.163 
1248272283.116 	  25 	  2.705 	  0.219 
1248272283.589 	  25 	  2.654 	  0.259 
1248272284.061 	  25 	  2.618 	  0.261 
1248272284.538 	  25 	  2.576 	  0.256 
1248272284.775 	  25 	  2.556 	  0.276 
1248272285.015 	  25 	  2.497 	  0.348 
1248272285.253 	  25 	  2.489 	  0.349 
1248272285.494 	  25 	  2.454 	  0.357 
1248272285.734 	  25 	  2.462 	  0.359 
1248272285.967 	  25 	  2.436 	  0.361 
1248272286.206 	  25 	  2.412 	  0.365 
1248272286.679 	  25 	  2.307 	  0.453 
1248272287.391 	  25 	  2.270 	  0.465 
1248272287.630 	  25 	  2.250 	  0.467 
1248272287.869 	  25 	  2.232 	  0.470 
1248272288.104 	  25 	  2.171 	  0.513 
1248272288.344 	  25 	  2.113 	  0.554 
1248272288.587 	  25 	  2.109 	  0.554 
1248272288.860 	  25 	  2.090 	  0.559 
1248272289.108 	  25 	  2.087 	  0.559 
1248272289.352 	  25 	  2.049 	  0.564 
1248272290.096 	   9 	  1.594 	 -0.094 
1248272290.349 	   9 	  1.586 	 -0.091 
1248272290.589 	   9 	  1.560 	 -0.093 
1248272290.827 	  16 	  4.084 	 -0.195 
1248272291.530 	  16 	  4.065 	 -0.106 
1248272291.530 	   9 	  1.496 	 -0.065 
1248272292.029 	  16 	  3.993 	 -0.103 
1248272292.268 	   9 	  1.453 	 -0.011 
1248272292.508 	  16 	  3.973 	 -0.102 
1248272292.745 	   9 	  1.413 	 -0.011 
1248272292.986 	   9 	  1.389 	  0.044 
1248272293.465 	   9 	  1.374 	  0.083 
