# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Odometry Data Fomat:
# Time [s]    forward velocity [m/s]    angular velocity[rad/s] 
1248272274.238 	  0.086 	 -0.398 
1248272274.269 	  0.086 	 -0.398 
1248272274.289 	  0.086 	 -0.398 
1248272274.350 	  0.086 	 -0.398 
1248272274.371 	  0.086 	 -0.398 
1248272274.402 	  0.086 	 -0.398 
1248272274.412 	  0.086 	 -0.398 
1248272274.453 	  0.086 	 -0.398 
1248272274.463 	  0.086 	 -0.398 
1248272274.504 	  0.086 	 -0.398 
1248272274.515 	  0.086 	 -0.398 
1248272274.566 	  0.086 	 -0.398 
1248272274.586 	  0.086 	 -0.398 
1248272274.607 	  0.086 	 -0.398 
1248272274.617 	  0.086 	 -0.398 
1248272274.668 	  0.086 	 -0.398 
1248272274.739 	  0.086 	 -0.398 
1248272274.750 	  0.086 	 -0.398 
1248272274.770 	  0.086 	 -0.398 
1248272274.781 	  0.086 	 -0.398 
1248272274.811 	  0.086 	 -0.398 
1248272274.822 	  0.086 	 -0.398 
1248272274.913 	  0.086 	 -0.398 
1248272274.954 	  0.086 	 -0.398 
1248272274.975 	  0.086 	 -0.398 
1248272274.985 	  0.086 	 -0.398 
1248272275.006 	  0.000 	  0.000 
1248272275.016 	  0.000 	  0.000 
1248272275.026 	  0.086 	 -0.398 
1248272275.037 	  0.086 	 -0.398 
1248272275.088 	  0.086 	 -0.398 
1248272275.118 	  0.086 	 -0.398 
1248272275.139 	  0.086 	 -0.398 
1248272275.170 	  0.086 	 -0.398 
1248272275.200 	  0.086 	 -0.398 
1248272275.261 	  0.086 	 -0.398 
1248272275.312 	  0.086 	 -0.398 
1248272275.323 	  0.086 	 -0.398 
1248272275.364 	  0.086 	 -0.398 
1248272275.374 	  0.086 	 -0.398 
1248272275.425 	  0.086 	 -0.398 
1248272275.446 	  0.086 	 -0.398 
1248272275.476 	  0.086 	 -0.398 
1248272275.527 	  0.086 	 -0.398 
1248272275.578 	  0.086 	 -0.398 
