  6 	 5.70928255 	 4.96404466 	 0.00027464 	 0.00041465
  7 	 5.25292609 	 5.53656921 	 0.00011889 	 0.00035386 
  8 	 3.69987701 	 4.46642332 	 0.00011533 	 0.00021172 
  9 	 2.31446307 	 3.37498700 	 0.00011799 	 0.00012106 
 10 	 0.48179893 	 4.39597180 	 0.00010721 	 0.00018453 
 11 	 3.15071999 	 2.38294871 	 0.00012614 	 0.00013848 
 12 	 4.06328771 	 0.94429372 	 0.00006143 	 0.00013376 
 13 	 2.68034388 	 0.26835185 	 0.00009939 	 0.00009516 
 14 	 0.94828519 	 0.75601306 	 0.00016941 	 0.00015120 
 15 	 3.76290153 	 -2.03091517 	 0.00011487 	 0.00017474 
 16 	 1.69836770 	 -2.08966931 	 0.00012742 	 0.00014707 
 17 	 0.03596156 	 -2.84396626 	 0.00008695 	 0.00010750 
 18 	 0.94291375 	 -5.43445742 	 0.00020354 	 0.00053328 
 19 	 2.59017016 	 -5.52265035 	 0.00004964 	 0.00022974 
 20 	 2.09939861 	 -3.91527208 	 0.00008644 	 0.00012267 
