1.585 12 4.164 -0.262 4.12862 -0.259099
1.585 9 4.961 0.378 5.03563 0.377472
1.826 13 2.717 -0.158 2.60091 -0.164727
1.826 9 4.961 0.394 5.02331 0.389901
2.062 12 4.179 -0.244 4.09899 -0.238356
2.063 17 4.714 0.142 1.61893 -2.80632
2.301 12 4.164 -0.24 4.08406 -0.24268
2.301 8 6.72 0.254 6.54825 0.254094
2.776 9 4.876 0.402 4.96559 0.408475
3.014 9 4.841 0.4 4.95095 0.400523
3.254 13 2.619 -0.161 2.50784 -0.161957
3.254 9 4.834 0.401 4.9374 0.405573
3.492 9 4.831 0.403 4.92303 0.406473
3.969 13 2.566 -0.17 2.45858 -0.165468
3.969 9 4.794 0.408 4.89232 0.409038
4.207 9 4.781 0.409 4.87851 0.410844
4.358 6 8.293 0.065 7.93014 0.0603058
4.358 9 4.781 0.409 4.86874 0.41016
4.509 6 8.293 0.065 7.9196 0.0598329
4.509 9 4.781 0.409 4.85919 0.410498
4.746 13 2.527 -0.101 2.41195 -0.0970787
4.985 6 8.293 0.149 7.89396 0.144257
4.985 9 4.492 0.5 4.836 0.496917
5.224 17 4.422 0.24 1.81204 -2.76626
5.462 13 2.484 -0.08 2.36257 -0.0827936
5.463 9 4.492 0.501 4.80608 0.505229
5.937 13 2.447 -0.079 2.33183 -0.0846183
5.937 9 4.492 0.497 4.77959 0.507403
6.409 8 6.009 0.432 6.29291 0.427183
6.648 8 6.139 0.437 6.27953 0.429929
6.897 12 3.941 -0.082 3.78746 -0.084907
6.897 13 2.399 0.004 2.26865 0.000509431
6.898 17 4.195 0.333 1.91479 -2.7026
7.382 12 3.94 -0.084 3.77036 -0.0823429
7.382 13 2.387 0.006 2.25153 0.00356394
7.382 17 4.18 0.338 1.93006 -2.70383
7.382 8 6.009 0.437 6.24715 0.445136
7.623 12 3.935 -0.091 3.76027 -0.084231
7.623 13 2.362 0.005 2.24149 0.00206994
7.624 17 4.195 0.329 1.9392 -2.70801
7.624 8 6.009 0.437 6.23805 0.444479
7.866 12 3.935 -0.078 3.74729 -0.0815449
7.866 13 2.349 0.009 2.22845 0.00504616
7.866 6 7.834 0.241 7.72925 0.24233
7.866 17 4.16 0.342 1.95067 -2.70811
8.018 12 3.935 -0.078 3.73404 -0.0750917
8.018 13 2.349 0.009 2.21511 0.0117128
8.018 6 7.834 0.241 7.71616 0.249571
8.018 17 4.16 0.342 1.96303 -2.70379
8.172 12 3.935 -0.078 3.72722 -0.0826923
8.172 13 2.349 0.009 2.20842 0.00458404
8.172 6 7.834 0.241 7.71006 0.24209
8.172 17 4.16 0.342 1.96843 -2.71389
8.411 12 3.935 0.006 3.71307 -0.00272093
8.411 13 2.318 0.08 2.19415 0.084755
8.412 17 3.99 0.42 1.98306 -2.62859
8.908 12 3.885 0.009 3.67985 0.00157535
8.908 13 2.285 0.095 2.16112 0.0905308
8.909 6 7.692 0.33 7.66479 0.328511
8.909 17 3.939 0.43 2.01048 -2.64027
9.15 12 3.881 0.011 3.66372 0.00896941
9.15 13 2.27 0.097 2.14502 0.0985187
9.15 6 7.623 0.331 7.64939 0.33664
9.15 7 7.623 0.417 7.85171 0.427465
9.15 17 3.935 0.433 2.02483 -2.63642
9.393 12 3.829 0.009 3.64395 0.00915149
